Без газа, света и воды. Без ног, без пенсии.  В Башкирии мужчина остался беспомощным – мать умерла, у брата – своя семья. Продолжение истории: Александр Гаранжа поселился в теплый дом, ему оформят пенсию.  https://mkset.ru/news/society/31-10-2018/smi-v-pomosch-invalid-v-krasnoy-bashkirii-poselilsya-v-teplyy-dom-emu-oformyat-pensiyu?utm_source=vk.com&amp;utm_medium=social&amp;utm_campaign=communities_1mi№%:№%:2018-11-01 10:30:03№%:№%:23967044
Дело – трубка. Главврачи республиканских больниц зарабатывают на закупках оборудования?  В 2018 году из республиканского бюджета было выделено 5,5 млрд рублей на закупку медицинского оборудования. Есть ли шансы у денег дойти до цели? У нас на памяти пара примеров того, как больницы проводят такие закупки:  https://proufu.ru/news/society/71605-delo_trubka_glavvrachi_respublikanskikh_bolnits_zarabatyvayut_na_zakupkakh_oborudovaniya/№%:№%:2018-11-01 10:10:01№%:№%:23967044
Маразм крепчал   В Башкирии мужчина без ног приходится доказывать, что он инвалид  http://www.bashinform.ru/news/1232623-v-bashkirii-muzhchinu-bez-nog-povezut-na-medekspertizu-dlya-ustanovleniya-invalidnosti/№%:№%:2018-11-01 09:50:00№%:№%:23967044
Волонтеры всего города выйдут на массовые поиски пропавшей женщины  Похоже, все очень серьезно.  https://www.ufa.kp.ru/online/news/3283176/№%:№%:2018-11-01 09:30:02№%:№%:23967044
Местная "Шурыгина" или приличная девочка?  Стало известно состояние изнасилованной девушки-дознавателя УВД в Уфе. Вскрылась еще одна история, из-за которой биография девушки выглядит сомнительной:  https://proufu.ru/news/society/71655-stalo_izvestno_sostoyanie_iznasilovannoy_devushki_doznavatelya_uvd_v_ufe_/№%:№%:2018-11-01 09:10:01№%:№%:23967044
«При посадке отказала передняя опора шасси»   В уфимском аэропорту собралось много людей, у всех была одна цель:  https://gorobzor.ru/novosti/obschestvo/17909-v-ufe-v-aeroportu-evakuirovali-samolet№%:№%:2018-11-01 08:50:00№%:№%:23967044
Радий Хабиров вручил лучшим работникам ключи от машин    10 человек получили новые автомобили:   http://ufacitynews.ru/news/2018/11/01/radij-habirov-vruchil-klyuchi-ot-avtomobilej-luchshim-mehanizatoram-bashkirii/№%:№%:2018-11-01 08:30:03№%:№%:23967044
Руководитель Башкирии Радий Хабиров попросил посоветовать ему надежного человека на ответственный пост  «Если у нас такой человек есть, я буду только рад», - заявил он:  http://ufatime.ru/news/2018/10/31/rukovoditel-bashkirii-radij-habirov-poprosil-posovetovat-emu-nadezhnogo-cheloveka-na-otvetstvennyj-post/№%:№%:2018-11-01 08:10:00№%:№%:23967044
Приложение для смартфонов позволит отслеживать движение общественного транспорта  Интерактивная система мониторинга работает уже сейчас  Как воспользоваться полезным советом, можно узнать по ссылке: http://www.ria-bashkiria.com/news/20299.html№%:№%:2018-11-01 07:50:11№%:№%:23967044
Вратарь "Салавата Юлаева" совершил лучшее спасение в КХЛ    А недавно он стал лучшим игроком    Подробности + видео: https://news102.ru/sport/vratar-salavata-yulaeva-sovershil-luchshee-spasenie-nedeli/№%:№%:2018-11-01 07:30:01№%:№%:23967044
Мастер перевоплощений в деле   Уфимку изменили до неузнаваемости накануне Хэллоуина:    http://i-gazeta.com/news/mesta_interesa/39669.html№%:№%:2018-11-01 07:10:00№%:№%:23967044
В Башкирии после прививки у малыша отнялись ножки 😢   Но это лишь полбеды. Необходимое лекарство для лечения мальчика... запрещено в России!   Подробнее + видео: https://bash.news/news/83305_semya_iz_ufy_ne_mozhet_poluchit_spasitelnoe_lekarstvo_dly№%:№%:2018-11-01 06:50:00№%:№%:23967044
23 социальных объекта, стоимостью 26 миллиардов появятся в Уфе к 100-летию Башкирии.    Это школы, детские сады, спортивные объекты и объекты здравоохранения    Полный список можно посмотреть тут: http://www.bashinform.ru/news/1231737-kogda-i-kakie-sotsobekty-postroyat-v-ufe-k-100-letiyu-obrazovaniya-respubliki-bashkortostan/№%:№%:2018-11-01 06:30:00№%:№%:23967044
Подробности возобновления строительства мечети «Ар-Рахим».  Сколько нужно на строительств, кто поможет с финансированием помимо Муртазы Рахимова, а также после чего мечеть будет завершена.   https://www.kommersant.ru/doc/3786930№%:№%:2018-11-01 06:10:00№%:№%:23967044
Когда в Башкирии ляжет постоянный снег, и наступит настоящая зима? Какой она будет: снежной, теплой, морозной?  Ученые ответили на все вопросы:  http://i-gazeta.com/news/region102/39683.html№%:№%:2018-11-01 05:50:00№%:№%:23967044
В Башкирии растут продажи алкоголя    Сколько выпивают жители республики:    http://ufatime.ru/news/2018/11/01/v-bashkirii-s-kazhdym-mesyacem-rastet-obem-prodazh-alkogolya/№%:№%:2018-11-01 05:30:00№%:№%:23967044
12 дорог Башкирии попали на российскую карту    Чем они стали знамениты:    Фото: http://ufacitynews.ru/news/2018/11/01/12-dorog-bashkirii-okazalis-na-rossijskoj-karte-ubityh-dorog/№%:№%:2018-11-01 05:10:00№%:№%:23967044
«Я считаю, что республике повезло, что в Башкирию вернулся Радий Хабиров»    Интервью с депутатом Госдумы Зарифом Байгускаровым    https://gorobzor.ru/novosti/politika/17906-ya-schitayu-respublike-povezlo-chto-v-bashkiriyu-vernulsya-radiy-habirov-deputat-gd-rf-zarif-bayguskarov№%:№%:2018-10-31 23:30:01№%:№%:23967044
В прокуратуре Башкирии продолжаются аресты.  Всплывают новые фигуранты нашумевшего уголовного дела о задержанном прокуроре в Москве.  https://www.kommersant.ru/doc/3786754№%:№%:2018-10-31 23:10:00№%:№%:23967044
В России изменились правила выдачи маткапитала  Владимир Путин подписал соответствующий закон   Подробности по ссылке: http://www.ria-bashkiria.com/news/20289.html№%:№%:2018-10-31 22:50:00№%:№%:23967044
№%:№%:2018-10-31 22:30:00№%:№%:23967044
Один день в доме-интернате для престарелых и инвалидов    Как правильно провести выходной в Уфе? Можно сходить на открытие новой фотовыставки, доедать волшебный домик с феромонами, продолжить смеяться над стариком-истеричкой, который беспочвенно банит в FB… В общем, я пошел в уфимский дом-интернат для престарелых и инвалидов, в качестве волонтера    http://ufa-room.ru/odin-den-v-dome-internate-dlya-prestarelyh-i-invalidov-93460/№%:№%:2018-10-31 22:10:00№%:№%:23967044
Уфа оказалась в тройке городов, из которых хотят переехать в Москву    Эксперты назвали основные причины    https://news102.ru/world/ufa-okazalas-v-troyke-gorodov-rossii-iz-kotoryh-hotyat-pereehat-v-moskvu/№%:№%:2018-10-31 21:50:00№%:№%:23967044
На обочинах трассы Уфа-Аэропорт кипит работа   Мэр поручил городским службам навести порядок в окрестностях одной из основных магистралей столицы.  http://www.allufa.ru/news/obshchestvo/sotrudniki-gorodskikh-sluzhb-privodyat-v-poryadok-obochiny-trassy-ufa-aeroport/№%:№%:2018-10-31 21:30:03№%:№%:23967044
Установлены личности всех трех высокопоставленных офицеров, которую у себя в кабинете изнасиловали 23-летнюю сотрудницу полиции  Уфа прославилась на всю Россию.  https://www.ufa.kp.ru/online/news/3283041/№%:№%:2018-10-31 21:10:00№%:№%:23967044
Жалобы и просьбы в соцсетях не останутся без ответа 👌🏻  В Башкирии третью неделю соцсети отслеживает система «Инцидент»: https://ufa.rbc.ru/ufa/31/10/2018/5bd9c3889a794710fd302b1f№%:№%:2018-10-31 20:50:00№%:№%:23967044
Работники ЖЭУ испугались гнева Радия Хабирова  Жители такого не ожидали:  http://i-gazeta.com/news/region102/39678.html№%:№%:2018-10-31 20:30:02№%:№%:23967044
Как власть в Башкирии будет общаться с гражданами?  Назначенный председателем Совета директоров АО «Башинформ» Ростислав Мурзагулов объяснил, какие задачи стоят перед ним в новом качестве.  https://mkset.ru/news/politics/31-10-2018/rostislav-murzagulov-ob-yasnil-kak-vlast-v-bashkirii-budet-obschatsya-s-grazhdanami?utm_source=communities&utm_medium=social&utm_campaign=communities_posev№%:№%:2018-10-31 20:10:00№%:№%:23967044
В Уфе решился вопрос о строительстве мечети «Ар-Рахим».  Решение было принято вчера на заседании совета фонда.   https://www.kommersant.ru/doc/3786822№%:№%:2018-10-31 19:50:00№%:№%:23967044
В Башкирии более трех недель назад пропала Ирина Алексеева  Взволнованные родственники обратились за помощью.  https://www.ufa.kp.ru/online/news/3282719/№%:№%:2018-10-31 19:30:04№%:№%:23967044
В деле об изнасиловании дознавателя УВД в Уфе появились любопытные подробности. Вся история в деталях  Ситуация оказалась настолько громкой, что в Уфу едет московская проверка:  https://proufu.ru/news/society/71639-poyavilis_novye_podrobnosti_v_dele_ob_iznasilovanii_doznavatelya_uvd_v_ufe/№%:№%:2018-10-31 19:10:01№%:№%:23967044
У Рустэма Хамитова новая работа  Он будет занимать высокий пост:  http://www.bashinform.ru/news/1232341-byvshiy-glava-bashkirii-rustem-khamitov-pereshel-na-rabotu-v-bashneft/№%:№%:2018-10-31 18:50:00№%:№%:23967044
Сегодня в Санкт-Петербурге стартовал Глобальный конгресс Всемирной ассоциации выставочной индустрии UFI. Впервые Республика Башкортостан получила уникальное право стать регионом-партнером ключевого события выставочной индустрии планеты. Включение Башкортостана в глобальную конгрессно-выставочную повестку подчеркивает статус нашей республики как лидера данной отрасли в России.  http://congressrb.info/news/585/№%:№%:2018-10-31 18:30:04№%:№%:23967044
№%:№%:2018-10-31 17:30:00№%:№%:23967044
В Стерлитамаке сгорела трехкомнатная квартира    Там находилось двое детей.    http://www.allufa.ru/news/obshchestvo/v-bashkirii-pozharnye-spasli-iz-ognya-trekh-chelovek/№%:№%:2018-10-31 17:10:01№%:№%:23967044
Жители Башкирии массово отказываются от прививок   Непривитых стало в два раза больше  http://ufacitynews.ru/news/2018/10/30/zhiteli-bashkirii-stali-v-2-raza-rezhe-delat-privivki-ot-grippa/№%:№%:2018-10-31 16:50:00№%:№%:23967044
«Я рос как обычные дети, не чувствовал ничего особенного»  Носитель редкого заболевания каждый день балансирует на грани жизни и смерти, шансов на излечение у него нет. Большой репортаж от ГорОбзор.ру:  https://gorobzor.ru/novosti/obschestvo/17883-ya-ros-kak-obychnye-deti-ne-chuvstvoval-nichego-osobennogo-nositel-redkogo-zabolevaniya-mps№%:№%:2018-10-31 16:30:05№%:№%:23967044
На уфимских мостах ввели ограничение   Пока не потеплеет, будем ездить по новым правилам:  http://ufatime.ru/news/2018/10/31/iz-za-holodov-na-ufimskih-mostah-vveli-ogranichenie-skorosti/№%:№%:2018-10-31 16:10:00№%:№%:23967044
Жителей Стерлитамака заставили страдать 😨  Пожилые и дети оказались отрезанными от города.   Подробнее + видео: https://bash.news/news/83136_v_sterlitamake_pereprava_cherez_beluyu_vnov_zakryta_dlya_№%:№%:2018-10-31 15:50:00№%:№%:23967044
Завтра в Башкирии ожидается снег  Какие ещё сюрпризы приготовила погода для жителей республики в первый день ноября?   Прогноз здесь: https://bash.news/news/83273_zavtra_v_bashkirii_prognoziruetsya_sneg№%:№%:2018-10-31 15:30:04№%:№%:23967044
Секс-скандал в полиции в Уфе 👨‍✈️😳  Начальника УВД одного из районов и его коллегу подозревают в изнасиловании. Жертвой стала дочь высокопоставленного офицера:  https://proufu.ru/news/society/71632-v_ufe_nachalnika_uvd_podozrevayut_v_iznasilovanii_doznavatelya/№%:№%:2018-10-31 15:10:01№%:№%:23967044
...  Вступайте в группу [club89457343|"Новости Уфы сегодня, происшествия ЧП и ДТП"] и будьте в курсе:    http://vk.com/rus_crime_ufa№%:№%:2018-10-31 14:10:00№%:№%:23967044
Житель Башкирии создал уникальный автопроект  Стоимость спорткара - 2 млн евро. Желающие его приобрести уже выстроились в очередь  Подробности + видео по ссылке: http://www.ria-bashkiria.com/video/3385.html№%:№%:2018-10-31 13:50:00№%:№%:23967044
В Уфе остановили поиски 20-летнего парня, который уехал в автосервис и пропал  Молодой человек пропал на целых десять дней:  https://proufu.ru/news/society/71604-spustya_10_dney_v_ufe_prekratili_iskat_parnya_kotoryy_uekhal_v_avtoservis_i_propal_/№%:№%:2018-10-31 13:30:04№%:№%:23967044
В Башкирии рабочий сорвался с крыши школы  Мужчина погиб на месте.  Подробнее: http://www.bashinform.ru/news/1232263-v-bashkirii-stroitel-sorvalsya-s-kryshi-shkoly-i-pogib-/№%:№%:2018-10-31 13:10:00№%:№%:23967044
Самая красивая... и страшная группа поддержки в КХЛ    Предлагаем вашему вниманию самые яркие фотографии группы поддержки с последней игры "Салавата Юлаева"    Больше фото: https://vk.cc/8DRpb8№%:№%:2018-10-31 12:50:00№%:№%:23967044
Из-за праздников пенсии выдадут досрочно    Общая сумма пенсионных выплат в ноябре составит 16 миллиардов 700 тысяч рублей.    http://www.allufa.ru/aktualno/iz-za-prazdnikov-pensii-vydadut-dosrochno/№%:№%:2018-10-31 12:30:05№%:№%:23967044
Уфа на грани провала. Геодезист об опасных процессах, идущих под землёй  Несколько раз в месяц под городом происходят небольшие землетрясения, которые продолжают усугублять ситуацию с карстовыми воронками и разломами. Чем это может грозить жителям, рассказал почётный геодезист России Геннадий Турикешев.  http://www.ufa.aif.ru/society/persona/ufa_na_grani_provala_geodezist_ob_opasnyh_processah_idushchih_pod_zemlyoy№%:№%:2018-10-31 12:10:00№%:№%:23967044
Новость удалена согласно правилам группы.№%:№%:2018-10-31 11:50:00№%:№%:23967044
Уфимские Айболиты  Вызовы в цирк, лгущие владельцы животных, операции беременным ежикам… Это все будни ветеринаров.   https://likes.ru/ufa/reviews/1020-ufimskie-aybolity№%:№%:2018-10-31 11:30:02№%:№%:23967044
Только вчера в семье было счастье, а уже сегодня произошло большое горе    Известная на всю Уфу мать восьмерых детей Юлия Вольф сообщила о случившейся в семье страшной трагедии.    https://www.ufa.kp.ru/online/news/3282264/№%:№%:2018-10-31 11:10:00№%:№%:23967044
Радий Хабиров придумал, где взять дополнительные деньги   С этой целью он съездил в Москву:    http://i-gazeta.com/news/region102/39672.html№%:№%:2018-10-31 10:50:00№%:№%:23967044
В Минтрансе Башкирии рассказали о забастовке водителей в Стерлитамаке   Треть автобусов ГУП «Башавтотранс» не вышли на линию.   Подробнее: https://proural.info/society/v-mintranse-bashkirii-rasskazali-o-zabastovke-voditeley-v-sterlitamake/№%:№%:2018-10-31 10:30:04№%:№%:23967044
Ростислав Мурзагулов прокомментировал своё назначение.   Его поставили между обществом и властью.   https://www.kommersant.ru/doc/3786274№%:№%:2018-10-31 10:10:01№%:№%:23967044
Владимир Путин встретился с экс-главой Башкирии Рустэмом Хамитовым  Президент очень хотел высказаться.  https://www.ufa.kp.ru/online/news/3282083/№%:№%:2018-10-31 09:50:00№%:№%:23967044
Платить не переплатить   С 1 января жители Башкирии начнут платить за вывоз мусора. Стало известно сколько:   http://www.bashinform.ru/news/1232075-goskomtarif-bashkirii-utochnil-stoimost-uslugi-za-vyvoz-musora/№%:№%:2018-10-31 09:30:03№%:№%:23967044
У него не было шансов выжить  В Башкирии в лобовом ДТП погиб мужчина  Подробности по ссылке: http://www.ria-bashkiria.com/news/20282.html№%:№%:2018-10-31 09:10:01№%:№%:23967044
«Не взрывай»: Неожиданные подробности о клипе в поддержку Шиханов   Оказывается, видео "утекло" раньше времени, а еще там есть пасхалки:  http://ufacitynews.ru/news/2018/10/29/ne-vzryvaj-neozhidannye-podrobnosti-o-klipe-v-podderzhku-shihanov/№%:№%:2018-10-31 08:50:00№%:№%:23967044
Изменения, вступающие в силу с 1 ноября 2018 года    ГорОбзор.ру собрал список изменений, которые коснутся каждого:  https://gorobzor.ru/novosti/politika/17850-izmeneniya-kotorye-vstupyat-v-silu-s-1-noyabrya-2018-goda№%:№%:2018-10-31 08:30:03№%:№%:23967044
Интересные назначения в команде Радия Хабирова  Кого назначил врио главы Башкирии на высокие должности:  http://ufatime.ru/news/2018/10/31/komanda-radiya-habirova-kogo-naznachil-vrio-glavy-bashkirii-na-vysokopostavlennye-dolzhnosti/№%:№%:2018-10-31 08:10:00№%:№%:23967044
Их выгнали на улицу, оставив без прописки и жилья 😨  В Уфе 6 лет назад мать с сыном остались без квартиры после сноса старой общаги. Чиновники все эти годы кормят семью завтраками.   Подробнее + видео: https://bash.news/news/83223_v_ufe_mat_s_synom_ostalis_na_ulice_posle_snosa_zavodskogo№%:№%:2018-10-31 07:50:00№%:№%:23967044
Надбавка к пенсии   Региональный Пенсионный фонд рассказал о дополнительных выплатах пенсионерам     Подробности по ссылке: http://www.ria-bashkiria.com/news/20275.html№%:№%:2018-10-31 07:30:01№%:№%:23967044
Какой будет зима в Башкирии  Башгидромет дал прогноз до весны.   http://www.bashinform.ru/news/1230890-v-bashkirii-temperatura-vozdukha-v-blizhayshie-polgoda-planiruetsya-vyshe-normy-bashgidromet/№%:№%:2018-10-31 07:10:00№%:№%:23967044
Новый мэр проверил готовность служб к уборке территории в зимний период    Оказалось, что не хватает кадров. «Заработная плата должна быть достойной!» - заявил он.    http://www.allufa.ru/news/obshchestvo/ulfat-mustafin-proinspektiroval-rayonnye-munitsipalnye-byudzhetnye-uchrezhdeniya-po-blagoustroystvu/№%:№%:2018-10-31 06:50:00№%:№%:23967044
Супер-Акция "Всё включено" - 15000 р., для студентов - 13000 р.!     Самое качественное обучение, опытные инструкторы!   Рассрочка на весь период обучения!   Утренние, дневные и вечерние группы!   Современный автопарк и автодром!   Срок обучения 2 месяца   Сдача экзамена на том-же авто, что и учился   Лицензия ГИБДД     Ближайший старт 1 ноября     Запишись и убедись! Узнать подробности об автошколе можно в личных сообщениях https://vk.com/id62923374, инстаграм https://www.instagram.com/akademia.ufa; по телефону +7 (347) 272-21-31, 8-937-300-10-70, а так же по адресу: г.Уфа, ул.Коммунистическая 65.№%:№%:2018-10-31 05:50:00№%:№%:23967044
Защитник ФК "Уфа" Денис Тумасян: "Если я сплю, меня нельзя будить"    Талантливый футболист, муж красавицы-жены и папа двух дочек рассказал об опыте игры от любительской лиги до РПЛ, папе-тренере, своем питании, топ-тренерах, небольшом бизнесе и о том, какое правило не нарушается в доме Тумасян    https://news102.ru/sport/zaschitnik-fk-ufa-denis-tumasyan-esli-ya-splyu-menya-nelzya-budit/№%:№%:2018-10-31 05:30:00№%:№%:23967044
Жителям Башкирии предлагают новые рабочие места  Платить обещают до 99999 рублей:  http://i-gazeta.com/news/region102/39646.html№%:№%:2018-10-31 05:10:00№%:№%:23967044
Радий Хабиров объединил государственные СМИ Башкирии в один холдинг    Подробнее на РБК:  https://ufa.rbc.ru/ufa/30/10/2018/5bd83ea69a7947a8ad809a34?from=regional_newsfeed№%:№%:2018-10-30 23:50:00№%:№%:23967044
Новое назначение Врио главы БашкирииРадия Хабирова.  В Башкирию пришел еще один чиновник из Красногорска.  https://www.kommersant.ru/doc/3786033№%:№%:2018-10-30 23:30:01№%:№%:23967044
Так держать! Два хоккеиста «Салавата Юлаева» вошли в состав сборной России на Кубок Карьяла.  Оба игрока дебютируют на играх Еврохоккейтура.  https://utv.ru/material/dva-hokkeista-salavata-yulaeva-voshli-v-sostav-sbornoj-rossii-na-kubok-karyala/№%:№%:2018-10-30 22:50:00№%:№%:23967044
В России вспоминают жертв политических репрессий.  В нескольких поколениях семьи Локтионовых из Башкирии воплотились самые тяжелые вехи жизни нашей страны. Расскажем вам эту историю.  https://mkset.ru/news/society/30-10-2018/delo-semi-iz-bashkirii-repressirovannye-plennye-dezertiry-nkvdshniki?utm_source=communities&utm_medium=social&utm_campaign=communities_posev№%:№%:2018-10-30 22:30:01№%:№%:23967044
«Снял рубашку, попросил сделать массаж»    Появились подробности сексуальных домогательств уфимского преподавателя к своим несовершеннолетним студенткам. Об этом рассказали сами девушки.    https://www.ufa.kp.ru/online/news/3281856/№%:№%:2018-10-30 22:10:00№%:№%:23967044
Что изменится с 1 ноября для жителей Башкирии?  Самые важные законы, которые уже вступили в силу:  https://proufu.ru/news/economika/71579-chto_izmenitsya_s_1_noyabrya_dlya_zhiteley_bashkirii_/№%:№%:2018-10-30 21:50:00№%:№%:23967044
"Остальных догнал и перегрыз им горло"  В Башкирии неизвестный зверь нападает на домашний скот  http://www.bashinform.ru/news/1231823-v-bashkirii-neizvestnyy-khishchnik-peregryz-dva-desyatka-kur/№%:№%:2018-10-30 21:30:01№%:№%:23967044
В Уфе зафиксирована самая низкая стоимость зимних шин по стране  Аналитики выяснили, в каком российском городе можно приобрести самые дорогие автомобильные шины на зиму, а в каком их стоимость самая низкая.  https://likes.ru/ufa/articles/30-10-2018/2418-v-ufe-zafiksirovana-samaya-nizkaya-stoimost-zimnih-shin-po-strane№%:№%:2018-10-30 20:50:00№%:№%:23967044
Администрация Уфы раскрыла время отправки и интервал следования маршруток в северной части города    Теперь проблемы уфимцев должны решиться:    http://ufacitynews.ru/news/2018/10/30/v-merii-ufy-rasskazali-o-rezhime-dvizheniya-marshrutnyh-avtobusov-v-kalininskom-rajone/№%:№%:2018-10-30 20:30:01№%:№%:23967044
Одной лишь страшной трагедии мало, все самое мерзкое начинается после   Интернет-тролли затравили женщину из Уфы, которая на днях потеряла мужа и двоих детей.  https://www.ufa.kp.ru/daily/26901/3946197/№%:№%:2018-10-30 20:10:01№%:№%:23967044
[club171315144|Мировые рок-хиты на виолончелях!]    7 ноября, Уфа, 20:00    Хотите взглянуть на шедевры мирового рока в новом свете? Сочетание классики и рока — вот что такое настоящая альтернатива попсе. То, что группа RockCellos вытворяет с виолончелями — невероятно!    В программе вечера — мировые хиты: Nirvana, Rammstein, Metallica, Linkin Park, AC/DC, Muse, Queen, Red Hot Chili Peppers, Pink Floyd, System of a Down, The Beatles, Bon Jovi, Limp Bizkit, The Prodigy, Marilyn Manson, 30 Seconds To Mars, Coldplay, Blur, Michael Jackson, Kiss, Europe, Arctic Monkeys, No Doubt, Maroon 5, The Cranberries, Scorpions, Radiohead, Gorillaz, Survivor, The Rasmus, Depeche Mode, Deep Purple и др.    Подробности о концерте — vk.com/rockcellos_ufa№%:№%:2018-10-30 19:10:00№%:№%:23967044
Новый мэр Уфы прокомментировал проблему, названную руководителем Башкирии Радием Хабировым самой важной  И перечислил первоочередные задачи на посту мэра:  http://ufatime.ru/news/2018/10/30/ulfat-mustafin-perechislil-pervoocherednye-zadachi-na-postu-mera-ufy-vklyuchiv-tuda-upomyanutuyu-rukovoditelem-bashkirii-problemu/№%:№%:2018-10-30 18:50:00№%:№%:23967044
Радий Хабиров: «У нас ГИБДД плохо работает? Ставьте вопрос о смене руководства!»    Возможно, кадровые перемены получат продолжение.   http://www.allufa.ru/aktualno/radiya-khabirova-vozmutili-pokazateli-smertnosti-na-dorogakh-respubliki/№%:№%:2018-10-30 18:30:03№%:№%:23967044
Радий Хабиров снова изменил состав Правительства Башкирии  Сегодня определился новый министр ЖКХ. Что о нем известно?  Подробности по ссылке: http://www.ria-bashkiria.com/news/20274.html№%:№%:2018-10-30 18:10:00№%:№%:23967044
Молодая мама двух маленьких близняшек из Уфы попала в большую беду  Она готова биться. На кону ее жизнь.  https://www.ufa.kp.ru/online/news/3281568/№%:№%:2018-10-30 17:50:00№%:№%:23967044
В Уфе зимняя резина одна из самых дешевых в стране    Как правильно выбрать - советы экспертов в нашем материале    Подробности: https://news102.ru/world/v-ufe-zimnyaya-rezina-odna-iz-samyh-deshevyh-v-strane/№%:№%:2018-10-30 17:30:03№%:№%:23967044
Преподаватель совращал совсем ещё юных девушек  Родители пострадавших рассказали совершенно дикую историю:  https://gorobzor.ru/novosti/proisshestviya/17827-v-ufe-62-letnego-prepodavatelya-obvinyayut-v-seksualnyh-domogatelstvah№%:№%:2018-10-30 17:10:01№%:№%:23967044
«Не взрывай»: Айдар Галимов и Роберт Юлдашев сняли клип в защиту шиханов    Известные деятели культуры не остались равнодушными к проблеме уничтожения гор в Башкирии.    Подробнее: https://vk.cc/8DojI9№%:№%:2018-10-30 16:50:00№%:№%:23967044
Городская администрация не заплатила ООО «Уралрегионпродукт» 6,71 млн рублей за украшение площади у Конгресс-холла   Долг за прошлый новый год с мэрии Уфы взыскали через суд: https://ufa.rbc.ru/ufa/freenews/5bd7f46e9a794792bc0d6adf?from=regional_newsfeed№%:№%:2018-10-30 16:30:02№%:№%:23967044
#шпагапротиврака  Дорогие друзья, мы просим Вас помочь, Александру Капоре ПОБЕДИТЬ в сложном сражении за ЖИЗНЬ!  ❗СРОЧНО требуется лекарство "АДЦЕТРИС"  СУММА СБОРА: 600 000 рублей  СРОК: до 7 ноября    🙌отправь SMS «Дарю» на номер 3443 или перейди по ссылке http://poter-net.ru/how_to_help/Donations/    Саша - кандидат в Мастера спорта по фехтованию и член сборной Башкортостана. Он с детства привык сражаться и ПОБЕЖДАТЬ!    «Саша всегда был здоровым парнем, за всю жизнь он не болел нечем серьезнее простуды. Мы ехали на соревнования, которые проходили в Затоне, когда сыну вдруг стало плохо. На них мы уже не попали, вечером поехали в больницу» - рассказывает папа, Саши.    С 8 лет активно занимался спортом. И параллельно, выступал в детском хоре при Башкирском театре оперы и балета в опере "Кармен". А за свои небольшие роли в других спектаклях театра получал гонорар, как настоящий артист.    Все это осталось в прошлом, когда из Москвы пришли результаты гистологического анализа и врачи объявили, что у Саши "Лимфома Ходжкина, IV стадия".  На тот момент Саше исполнилось 16 лет. Как спортсмен он привык к трудностям, и был готов к любым испытаниям, чтобы быстрее вернуться к своей команде. Впереди ждали региональные соревнования.    Прошлым летом Саша перенёс пневмонию и отправился на контрольное обследование. При рентгене грудной клетки у мальчика обнаружили новообразование правого легкого.  Никто в семье Александра не мог предположить такое заболевание, он постоянно проходил обследования и внимательно следил за здоровьем.    Сейчас Саше 17 лет. И уже год он мужественного сражается с лимфомой. Лечение по протоколу, лучевая терапия - повторный анализ в клинике им. Д.Рогачева. Спустя полгода Саша вышел в ремиссию. Впереди мальчика ждало длительное восстановление.  Но летом 2018 года у Саши случается РЕЦИДИВ. Единственным спасением жизни стала - пересадка собственных стволовых клеток.    У Саши есть все шансы достичь полной ремиссии, если продолжать приём препарата "АДЦЕТРИС". Только этот препарат позволяет бороться с лимфомой при раннем рецидиве, когда другие лекарства не справляются.    На первый курс необходимо 3 флакона, общей стоимостью 600 000 рублей! Трансплантацию Саше сделали в Санкт-Петербурге.  Дальнейшее лечение будет проходить в Республиканской детской клинической больнице в Уфе. Согласно законодательству, чтобы закупить лекарство больница должна провести торги и на это потребуется не мало времени, которого у Саши нет. Следующих курс необходимо начать 7 ноября!    Саша вместе с командной завоевали множество медалей и наград. Его папа сам тренер по фехтованию, и выпустил десятки юных спортсменов, ставших чемпионами России и Европы. За месяц до болезни Саша успел завоевать очередную медаль, и он верит, что это победа не последняя.    ❗Курс начинается 7 ноября.  В наших с вами силах собрать 600 000₽ на приобретение ЖИЗНЕННО ВАЖНОГО препарата.  Прервать лечение - значит сдаться самому коварному сопернику - Лимфоме.    ❗ ПОМОЧЬ Саше ПОБЕДИТЬ❗    ▶Посредством SMS: отправь слово "ДАРЮ" на номер 3443 с указанием суммы платежа (Например «Дарю 100» или «Дарю500»). После отправки сообщения необходимо в ответ направить бесплатный запрос о списании средств.  P.S. Предварительно убедитесь, что средств на счету телефона достаточно и после отправки SMS у вас останется минимальная сумма – по договору с оператором.    ▶С помощью банковской карты через Uniteller, Яндекс.Деньги, Robokassa по ссылке http://poter-net.ru/how_to_help/Donations/    После совершения платежа напиши, пожалуйста, письмо на электронную почту poter-net@mail.ru и укажи в письме назначение платежа "Благотворительное пожертвование для «Капоры Александра»    Благодаря добрым делам случаются чудеса - давайте их делать Вместе!  #шпагапротиврака№%:№%:2018-10-30 16:10:00№%:№%:23967044
Рэпер Face доигрался.   По всей стране жители стали требовать отмены его концертов. Уфимский рэпер не на шутку разозлил россиян.  Подробнее: https://bash.news/news/83186_aktivistka_potrebovala_otmeny_koncerta_repera_face_v_ekat№%:№%:2018-10-30 15:50:00№%:№%:23967044
В последний день октября будет оооооочень холодно   Одевайтесь теплее  http://www.bashinform.ru/news/1231954-v-posledniy-den-oktyabrya-v-bashkirii-pokholodaet-do-13-gradusov/№%:№%:2018-10-30 15:30:04№%:№%:23967044
